id1,id2,weight
1.1,root.n01,1
1.2,root.n01,1
2.1,1.1,1
2.2,1.1,1
2.3,1.2,1
2.4,1.2,1
3.1,2.1,1
3.2,2.1,1
3.3,2.2,1
3.4,2.2,1
3.5,2.2,1
3.6,2.3,1
3.7,2.3,1
3.8,2.4,1
3.9,2.4,1
4.1,3.1,1
4.2,3.1,1
4.3,3.1,1
4.4,3.2,1
4.5,3.2,1
4.6,3.3,1
4.7,3.3,1
4.8,3.3,1
4.9,3.4,1
4.10,3.4,1
4.11,3.5,1
4.12,3.5,1
4.13,3.5,1
4.14,3.6,1
4.15,3.6,1
4.16,3.6,1
4.17,3.7,1
4.18,3.7,1
4.19,3.7,1
4.20,3.7,1
4.21,3.8,1
4.22,3.8,1
4.23,3.9,1
4.24,3.9,1
snake.n01,4.1,1
porcupine.n01,4.1,1
cloud.n01,4.1,1
camel.n01,4.1,1
cockroach.n01,4.2,1
beaver.n01,4.2,1
ray.n01,4.2,1
motorcycle.n01,4.3,1
rose.n01,4.3,1
dolphin.n01,4.4,1
pickup_truck.n01,4.4,1
can.n01,4.4,1
clock.n01,4.4,1
palm.n01,4.5,1
chimpanzee.n01,4.5,1
lamp.n01,4.5,1
lawn_mower.n01,4.6,1
forest.n01,4.6,1
crocodile.n01,4.6,1
rocket.n01,4.6,1
train.n01,4.6,1
keyboard.n01,4.6,1
road.n01,4.7,1
trout.n01,4.7,1
caterpillar.n01,4.7,1
girl.n01,4.8,1
telephone.n01,4.8,1
mouse.n01,4.8,1
aquarium_fish.n01,4.9,1
castle.n01,4.9,1
tiger.n01,4.9,1
orchid.n01,4.9,1
maple.n01,4.9,1
tank.n01,4.10,1
kangaroo.n01,4.10,1
worm.n01,4.10,1
snail.n01,4.10,1
plate.n01,4.10,1
cattle.n01,4.11,1
tractor.n01,4.11,1
streetcar.n01,4.11,1
pear.n01,4.11,1
squirrel.n01,4.11,1
shark.n01,4.11,1
sea.n01,4.12,1
rabbit.n01,4.12,1
woman.n01,4.12,1
dinosaur.n01,4.13,1
bridge.n01,4.13,1
plain.n01,4.13,1
sweet_pepper.n01,4.13,1
orange.n01,4.13,1
fox.n01,4.14,1
mushroom.n01,4.14,1
beetle.n01,4.14,1
hamster.n01,4.14,1
spider.n01,4.14,1
tulip.n01,4.14,1
willow.n01,4.15,1
oak.n01,4.15,1
sunflower.n01,4.15,1
wolf.n01,4.15,1
bee.n01,4.16,1
turtle.n01,4.16,1
flatfish.n01,4.16,1
poppy.n01,4.17,1
apple.n01,4.17,1
wardrobe.n01,4.17,1
chair.n01,4.17,1
seal.n01,4.18,1
possum.n01,4.18,1
cup.n01,4.18,1
house.n01,4.18,1
pine.n01,4.18,1
skyscraper.n01,4.18,1
bottle.n01,4.19,1
baby.n01,4.19,1
lobster.n01,4.20,1
leopard.n01,4.20,1
shrew.n01,4.20,1
raccoon.n01,4.20,1
whale.n01,4.21,1
butterfly.n01,4.21,1
lizard.n01,4.21,1
bicycle.n01,4.21,1
skunk.n01,4.22,1
couch.n01,4.22,1
television.n01,4.22,1
elephant.n01,4.22,1
mountain.n01,4.22,1
table.n01,4.22,1
crab.n01,4.23,1
bed.n01,4.23,1
bus.n01,4.23,1
bowl.n01,4.23,1
man.n01,4.23,1
boy.n01,4.24,1
bear.n01,4.24,1
otter.n01,4.24,1
lion.n01,4.24,1
