id1,id2,weight
extremely_small,root.n01,1
very_small,root.n01,1
small,root.n01,1
medium,root.n01,1
large,root.n01,1
very_large,root.n01,1
extremely_large,root.n01,1
bee.n01,extremely_small,1
beetle.n01,extremely_small,1
butterfly.n01,extremely_small,1
caterpillar.n01,extremely_small,1
cockroach.n01,extremely_small,1
snail.n01,extremely_small,1
spider.n01,extremely_small,1
worm.n01,extremely_small,1
hamster.n01,extremely_small,1
mouse.n01,extremely_small,1
shrew.n01,extremely_small,1
orchid.n01,very_small,1
poppy.n01,very_small,1
rose.n01,very_small,1
apple.n01,very_small,1
orange.n01,very_small,1
pear.n01,very_small,1
mushroom.n01,very_small,1
sweet_pepper.n01,very_small,1
can.n01,very_small,1
cup.n01,very_small,1
aquarium_fish.n01,very_small,1
trout.n01,very_small,1
lobster.n01,very_small,1
crab.n01,very_small,1
lizard.n01,very_small,1
rabbit.n01,very_small,1
squirrel.n01,very_small,1
tulip.n01,very_small,1
bottle.n01,very_small,1
bowl.n01,very_small,1
plate.n01,very_small,1
clock.n01,very_small,1
flatfish.n01,very_small,1
telephone.n01,very_small,1
otter.n01,small,1
ray.n01,small,1
snake.n01,small,1
turtle.n01,small,1
beaver.n01,small,1
porcupine.n01,small,1
leopard.n01,small,1
baby.n01,small,1
raccoon.n01,small,1
fox.n01,small,1
possum.n01,small,1
skunk.n01,small,1
sunflower.n01,small,1
television.n01,small,1
chair.n01,small,1
lamp.n01,small,1
keyboard.n01,small,1
seal.n01,medium,1
bear.n01,medium,1
lion.n01,medium,1
tiger.n01,medium,1
wolf.n01,medium,1
chimpanzee.n01,medium,1
boy.n01,medium,1
girl.n01,medium,1
man.n01,medium,1
woman.n01,medium,1
bicycle.n01,medium,1
motorcycle.n01,medium,1
table.n01,medium,1
lawn_mower.n01,medium,1
dolphin.n01,large,1
shark.n01,large,1
crocodile.n01,large,1
kangaroo.n01,large,1
camel.n01,large,1
cattle.n01,large,1
maple.n01,large,1
oak.n01,large,1
palm.n01,large,1
pine.n01,large,1
willow.n01,large,1
streetcar.n01,large,1
pickup_truck.n01,large,1
tractor.n01,large,1
bed.n01,large,1
couch.n01,large,1
wardrobe.n01,large,1
whale.n01,very_large,1
dinosaur.n01,very_large,1
elephant.n01,very_large,1
bridge.n01,very_large,1
castle.n01,very_large,1
house.n01,very_large,1
skyscraper.n01,very_large,1
bus.n01,very_large,1
train.n01,very_large,1
rocket.n01,very_large,1
tank.n01,very_large,1
road.n01,very_large,1
cloud.n01,extremely_large,1
forest.n01,extremely_large,1
mountain.n01,extremely_large,1
plain.n01,extremely_large,1
sea.n01,extremely_large,1
